competition_key,season_label,league_id,provider_season_id,fixtures_expected,ms_fixtures_cov,ms_missing,h2h_fixtures_cov,h2h_missing,lineup_fixtures_cov,lineup_missing,lineup_players_total,pss_players_total,pss_missing_players,me_fixtures_cov,me_missing,me_duplicate_groups,fps_fixtures_cov,fps_missing,lineups_outside_catalog_rows,fps_outside_catalog_rows,status_match_statistics,status_head_to_head,status_lineups,status_player_season_statistics,status_match_events,status_fixture_player_statistics
brasileirao_a,2021,648,18215,380,378,2,380,0,380,0,837,835,2,378,2,0,380,0,0,0,PARCIAL,COMPLETO,COMPLETO,PARCIAL,PROVIDER_COVERAGE_GAP,COMPLETO
brasileirao_a,2022,648,19434,380,380,0,380,0,380,0,861,861,0,378,2,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,PROVIDER_COVERAGE_GAP,COMPLETO
brasileirao_a,2023,648,21207,380,380,0,380,0,380,0,863,863,0,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_a,2024,648,23265,380,380,0,380,0,380,0,846,844,2,380,0,0,379,1,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,PARCIAL
brasileirao_a,2025,648,25184,380,380,0,380,0,380,0,854,841,13,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
brasileirao_b,2021,651,18217,380,380,0,380,0,380,0,824,824,0,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_b,2022,651,19438,378,378,0,378,0,378,0,896,895,1,378,0,0,378,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
brasileirao_b,2023,651,21210,379,379,0,379,0,379,0,874,874,0,379,0,0,379,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
brasileirao_b,2024,651,23291,378,378,0,378,0,378,0,860,858,2,378,0,0,371,7,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,PROVIDER_COVERAGE_GAP
brasileirao_b,2025,651,25185,379,379,0,379,0,379,0,875,866,9,379,0,0,379,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
bundesliga,2020_21,82,17361,306,306,0,306,0,306,0,566,566,0,306,0,0,306,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2021_22,82,18444,306,306,0,306,0,306,0,588,588,0,306,0,0,306,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2022_23,82,19744,306,306,0,306,0,306,0,589,589,0,306,0,0,306,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2023_24,82,21795,306,306,0,306,0,306,0,570,570,0,306,0,0,306,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
bundesliga,2024_25,82,23744,305,305,0,305,0,305,0,568,565,3,305,0,0,305,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
champions_league,2020_21,2,17299,177,172,5,177,0,173,4,1801,1801,0,176,1,0,177,0,0,0,PARCIAL,COMPLETO,PARCIAL,COMPLETO,PROVIDER_COVERAGE_GAP,COMPLETO
champions_league,2021_22,2,18346,218,217,1,218,0,217,1,2076,2076,0,218,0,0,218,0,0,0,PARCIAL,COMPLETO,PARCIAL,COMPLETO,COMPLETO,COMPLETO
champions_league,2022_23,2,19699,214,211,3,214,0,211,3,1992,1991,1,214,0,0,214,0,0,0,PARCIAL,COMPLETO,PARCIAL,PARCIAL,COMPLETO,COMPLETO
champions_league,2023_24,2,21638,214,206,8,214,0,206,8,2030,2029,1,214,0,0,214,0,0,0,PARCIAL,COMPLETO,PARCIAL,PARCIAL,COMPLETO,COMPLETO
champions_league,2024_25,2,23619,279,274,5,279,0,274,5,2208,2207,1,279,0,0,278,1,0,0,PARCIAL,COMPLETO,PARCIAL,PARCIAL,COMPLETO,PARCIAL
copa_do_brasil,2021,654,18162,122,122,0,122,0,110,12,1828,1826,2,122,0,0,110,12,0,0,COMPLETO,COMPLETO,PROVIDER_COVERAGE_GAP,PARCIAL,COMPLETO,PROVIDER_COVERAGE_GAP
copa_do_brasil,2022,654,19380,122,122,0,122,0,108,14,1546,1546,0,122,0,0,108,14,0,0,COMPLETO,COMPLETO,PROVIDER_COVERAGE_GAP,COMPLETO,COMPLETO,PROVIDER_COVERAGE_GAP
copa_do_brasil,2023,654,21194,122,122,0,122,0,112,10,1923,1922,1,122,0,0,112,10,0,0,COMPLETO,COMPLETO,PROVIDER_COVERAGE_GAP,PARCIAL,COMPLETO,PROVIDER_COVERAGE_GAP
copa_do_brasil,2024,654,23161,122,122,0,122,0,122,0,2023,2023,0,122,0,0,122,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
copa_do_brasil,2025,654,25165,122,122,0,122,0,122,0,2064,2064,0,122,0,0,122,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2020_21,564,17480,380,380,0,380,0,380,0,700,700,0,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2021_22,564,18462,380,380,0,380,0,380,0,746,746,0,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2022_23,564,19799,380,380,0,380,0,380,0,717,717,0,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
la_liga,2023_24,564,21694,380,380,0,380,0,380,0,724,722,2,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
la_liga,2024_25,564,23621,380,380,0,380,0,380,0,736,733,3,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
libertadores,2021,1122,17961,155,153,2,155,0,153,2,1385,1385,0,155,0,0,155,0,0,0,PARCIAL,COMPLETO,PARCIAL,COMPLETO,COMPLETO,COMPLETO
libertadores,2022,1122,19284,155,152,3,155,0,152,3,1382,1382,0,155,0,0,155,0,0,0,PARCIAL,COMPLETO,PARCIAL,COMPLETO,COMPLETO,COMPLETO
libertadores,2023,1122,21019,155,150,5,155,0,150,5,1416,1415,1,155,0,0,155,0,0,0,PARCIAL,COMPLETO,PARCIAL,PARCIAL,COMPLETO,COMPLETO
libertadores,2024,1122,22969,155,149,6,155,0,149,6,1403,1403,0,155,0,0,155,0,0,0,PARCIAL,COMPLETO,PARCIAL,COMPLETO,COMPLETO,COMPLETO
libertadores,2025,1122,24957,154,148,6,154,0,148,6,1368,1361,7,154,0,0,154,0,0,0,PARCIAL,COMPLETO,PARCIAL,PARCIAL,COMPLETO,COMPLETO
ligue_1,2020_21,301,17160,380,380,0,380,0,380,0,684,683,1,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
ligue_1,2021_22,301,18441,380,380,0,380,0,380,0,714,713,1,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
ligue_1,2022_23,301,19745,380,380,0,380,0,380,0,691,691,0,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
ligue_1,2023_24,301,21779,306,306,0,306,0,306,0,634,633,1,306,0,0,306,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
ligue_1,2024_25,301,23643,306,306,0,306,0,306,0,651,641,10,306,0,0,306,0,0,0,COMPLETO,COMPLETO,COMPLETO,PARCIAL,COMPLETO,COMPLETO
premier_league,2020_21,8,17420,380,380,0,380,0,380,0,641,641,0,380,0,0,380,0,0,0,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO,COMPLETO
